No. 1s,Fecha,INICIO,FINAL,TIEMPO DE PARO,CAUSA (DIGITAR EN MAYUSCULAS),PROCESO,HORAS TOTAL (H),Codigo ubicación tecnica,Tipo Paro,Imputación,AREA,PROCESO2,CLASE,NOMBRE RCA,AREA2,MES,AÑO
PARO,2024-02-12,16:44:00,19:10:00,02:26:00,DAÑO VENTILADOR DEL VARIADOR VTI FILTRO PRINCIPAL,HORNO,2.43,EC01-421-VE01,ELECTRICO,VENTILADOR,MTTO ELECTRICO,No Especificado,Sin Clase,DAÑO VENTILADOR DEL VARIADOR VTI FILTRO PRINCIPAL,HORNO,Febrero,2024
PARO,2024-02-13,05:30:00,06:05:00,00:35:00,DESALINEAMIENTO DOSIFICADORA ,CARBON,0.58,EC01-L61-BP01,MECANICO,BANDA DOSIFICADORA,MTTO MECANICO,No Especificado,Sin Clase,DESALINEAMIENTO DOSIFICADORA ,CARBON,Febrero,2024
PARO,2024-02-13,19:00:00,21:35:00,02:35:00,BOMBA DEL SISTEMA DE LUBRICACION DE LOS RODILLOS EN FALLA POR CONSUMO ALTO,CARBON,2.58,EC01-L61-EL02-M04,ELECTRICO,BOMBA DE FLUIDOS,MTTO ELECTRICO,No Especificado,Sin Clase,BOMBA DEL SISTEMA DE LUBRICACION DE LOS RODILLOS EN FALLA POR CONSUMO ALTO,CRUDO,Febrero,2024
PARO,2024-02-15,15:23:00,19:50:00,04:27:00,ALTA TEMPERATURA AMBIENTE SUBESTACION 4P1,HORNO,4.45,EC01-421-VE01,ELECTRICO,VENTILADOR,MTTO ELECTRICO,No Especificado,Sin Clase,ALTA TEMPERATURA AMBIENTE SUBESTACION 4P1,HORNO,Febrero,2024
PARO,2024-02-16,10:53:00,23:59:00,13:06:00,CONATO PLATAFORMA DE QUEMADOR,HORNO,13.1,EC01-461,EXTERNO,HORNO,PRODUCCION,No Especificado,Sin Clase,CONATO PLATAFORMA DE QUEMADOR,HORNO,Febrero,2024
PARO,2024-02-23,09:02:00,09:24:00,00:22:00,APERTURA DEL VARIADOR VTI FILTRO PRINCIPAL POR MANIOBRA,HORNO,0.3666666666666667,EC01-421-VE01,ELECTRICO,VENTILADOR,MTTO ELECTRICO,No Especificado,Sin Clase,APERTURA DEL VARIADOR VTI FILTRO PRINCIPAL POR MANIOBRA,HORNO,Febrero,2024
PARO,2024-02-28,10:57:00,23:59:00,13:02:00,ATASQUE DE CICLON 5 CON MATERIAL,HORNO,13.033333333333335,EC01-441-Z05A,OPERACIÓN,CICLON,PRODUCCION,No Especificado,Sin Clase,ATASQUE DE CICLON 5 CON MATERIAL,HORNO,Febrero,2024
PARO,2024-03-04,23:16:00,23:59:00,00:43:00,ATASQUE DE CICLON 4 CON MATERIAL,HORNO,0.7166666666666668,EC01-441-Z04A,OPERACIÓN,CICLON,PRODUCCION,No Especificado,Sin Clase,ATASQUE DE CICLON 4 CON MATERIAL,HORNO,Marzo,2024
PARO,2024-03-08,00:00:00,20:10:00,20:10:00,CORTE DE ENERGÍA POR TORMENTA ELECTRICA,HORNO,20.166666666666668,EC01-461-HR01,EXTERNO,HORNO,MTTO ELECTRICO,No Especificado,Sin Clase,CORTE DE ENERGÍA POR CAIDA ARBOL EN LINEA,HORNO,Marzo,2024
PARO,2024-03-13,04:28:00,04:35:00,00:07:00,ACTIVACION SISTEMA DETECCION INCENDIOS POR LIMPIEZA DE TORRE,HORNO,0.11666666666666625,EC01-L91-DY01,OPERACIÓN,HORNO,PRODUCCION,No Especificado,Sin Clase,ACTIVACION SISTEMA DETECCION INCENDIOS POR LIMPIEZA DE TORRE,HORNO,Marzo,2024
PARO,2024-03-18,23:36:00,23:59:00,00:23:00,VARIACIÓN DE TENSIÓN ,HORNO,0.38333333333333197,EC01-441,EXTERNO,Sin Imputacion,MTTO ELECTRICO,2024,marzo,VARIACION DE TENSION ELECTRICA,HORNO,Marzo,2024
